country,code,year,prod,gdp_per_cap,life_exp,total,beer,other,spirit,wine,pc_m_dis,pc_fm_dis,de_per_mil
Cambodia,KHM,2000,3072.964111,300.6850949,58.432,1.51,0.29,0,1.21,0.01,1.1855588,0.51972965,21.50513266
Kiribati,KIR,2000,,796.7937634,64.001,0.46,0.39,0,0.05,0.02,1.074744993,0.577668741,6.90762705
St. Kitts and Nevis,KNA,2000,,9267.754831,,8.41,3.62,0.02,4.13,0.65,,,
"Korea, Rep.",KOR,2000,44396.10547,11947.57913,75.9097561,10.33,2.23,7.61,0.46,0.03,3.225405073,0.912335611,26.54114666
Kuwait,KWT,2000,146356.3594,18389.38433,73.16,0.01,0,0,0.01,0,0.717178528,0.469599397,3.240840799
Lao PDR,LAO,2000,5271.986816,324.8450496,58.923,5.16,0.84,0,4.3,0.02,1.169269945,0.522352058,20.80707941
Lebanon,LBN,2000,42859.15234,5334.903329,74.447,2.26,0.44,0,1.12,0.7,0.717798467,0.629357486,2.247302124
Liberia,LBR,2000,2833.77002,183.4149991,52.423,4.46,0.17,0,4.29,0,1.201411743,1.051699646,15.56222305
Libya,LBY,2000,81972.27344,7145.628494,70.473,0.01,0,0,0.01,0,0.71417133,0.458508726,3.617681158
St. Lucia,LCA,2000,27760.51172,4996.267719,71.456,11.69,3.22,0.06,7.3,1.11,2.650801176,1.050210545,34.34442998
Sri Lanka,LKA,2000,14407.31934,869.4956921,71.002,1.45,0.1,0,1.34,0.01,1.164880219,0.516036072,23.40636737
Lesotho,LSO,2000,5350.645996,474.8197906,48.405,3.1,1.54,1.15,0.37,0.04,2.215157943,0.990895123,32.71997905
Lithuania,LTU,2000,30139.0293,3297.354701,72.0195122,9.87,3.78,0.69,3.3,2.1,4.802211977,3.984620186,138.2983914
Luxembourg,LUX,2000,193466.0313,48735.99549,77.87317073,13.14,4.62,0,2.64,5.88,2.131916915,0.730399035,36.00124538
Latvia,LVA,2000,28052.08008,3352.731296,70.31463415,7.13,1.97,0.11,3.45,1.6,4.347462326,3.692276227,144.3632831
Morocco,MAR,2000,15479.2998,1332.382358,68.722,0.45,0.21,0,0.05,0.19,0.631503492,0.296035687,3.087458471
Moldova,MDA,2000,5641.259766,354.0037319,67.006,9.89,0.48,0,3.59,5.82,3.277490402,3.226177136,73.33405918
Madagascar,MDG,2000,3225.665039,245.9390659,58.485,1.16,0.4,0,0.64,0.13,1.998917387,0.895249621,19.98791174
Maldives,MDV,2000,19789.79492,2226.721729,69.936,1.83,0.5,0,1.29,0.04,0.851738743,0.513490405,4.48878832
Mexico,MEX,2000,38859.63672,6720.902113,74.364,4.99,3.67,0.03,1.23,0.06,2.729386501,0.504577028,60.62553168
"Macedonia, FYR",MKD,2000,30954.64844,1854.145956,73.267,2.86,0.46,0,1.65,0.76,2.005950429,1.221538802,11.73210538
Mali,MLI,2000,5698.353027,269.3483829,48.069,0.47,0.07,0.39,0,0.01,1.177817638,1.04719933,11.23072373
Malta,MLT,2000,64451.97656,11039.05651,78.2,5.59,2.83,0,1.78,0.97,1.527319039,0.579281022,4.467917876
Myanmar,MMR,2000,2713.937012,193.1874804,62.133,0.35,0.1,0,0.25,0,1.132714862,0.547156529,21.41295694
Montenegro,MNE,2000,35009.03516,1627.042893,73.228,,,,,,2.081644296,1.163153266,17.0732704
Mongolia,MNG,2000,12396.40332,474.2133361,62.869,2.79,0.61,0,2.1,0.08,4.111055643,1.133185195,49.92470401
Mozambique,MOZ,2000,1531.984985,277.6486591,48.348,1.14,0.52,0.03,0.52,0.07,2.073789835,0.884978562,23.85741243
Mauritania,MRT,2000,10493.83496,477.4761024,60.049,0.03,0,0,0.02,0.01,1.197088926,1.053913571,11.71791649
Mauritius,MUS,2000,26340.33203,3861.032414,71.66341463,4.6,2.21,0,2.1,0.29,1.7438588,0.535567907,37.41251153
Malawi,MWI,2000,2281.083008,153.2595087,46.45,1.18,0.16,0.74,0.29,0,2.092570414,0.901882047,26.23160862
Malaysia,MYS,2000,40892.02344,4045.170471,72.8,0.54,0.45,0,0.08,0.02,1.045534686,0.337515394,20.86255224
Namibia,NAM,2000,22825.21289,2057.995057,55.608,5.73,3.6,0.46,0.8,0.88,2.323664108,0.997632063,31.47416575
Niger,NER,2000,1886.920044,158.4055972,49.874,0.1,0.06,0.01,0.02,0.01,1.165581588,1.039864998,11.8448102
Nigeria,NGA,2000,9595.621094,379.1193264,46.266,9.23,0.42,8.81,0,0,1.163720458,1.04307356,14.66919584
Nicaragua,NIC,2000,10275.67285,1016.020743,69.742,3.61,1.04,0,2.54,0.02,3.269423269,0.670341256,71.66881863
Netherlands,NLD,2000,83717.33594,25921.12794,77.98780488,10.06,4.99,0,2.06,3.01,1.190666448,0.481295979,15.44910295
Norway,NOR,2000,112060.9297,38146.71539,78.63414634,5.67,2.93,0.07,1.05,1.62,2.90206381,0.989427281,44.69020199
Nepal,NPL,2000,3097.897949,231.4255004,62.386,0.08,0.07,0,0.01,0,1.907298361,0.916765643,13.68315907
Nauru,NRU,2000,,,,3.21,3.21,0,0,0,,,
New Zealand,NZL,2000,60205.87109,13641.10272,78.63658537,8.91,4.22,0.55,1.37,2.57,2.173708633,1.087366381,8.213259237
Oman,OMN,2000,158246.0469,8601.185906,72.126,0.38,0.13,0,0.25,0,0.691237743,0.456197405,2.671549969
Pakistan,PAK,2000,12529.90723,533.8624114,62.727,0.02,0,0.01,0,0,2.058155149,0.905575483,10.95983658
Panama,PAN,2000,28556.74805,4060.299035,75.084,5.58,3.41,0.01,2.03,0.13,1.978308091,0.659553131,8.969335035
Peru,PER,2000,15693.89746,1996.719689,70.512,4.59,1.69,0,2.67,0.23,2.320253623,0.727426198,33.55736334
Philippines,PHL,2000,11949.96191,1038.910977,67.17,4.73,1.18,0,3.54,0.01,1.314270827,0.526025553,22.05116564
Papua New Guinea,PNG,2000,4254.203125,631.9468526,61.832,0.73,0.59,0,0.11,0.04,1.178087442,0.560423893,10.01860345
Poland,POL,2000,38592.82813,4492.727604,73.74878049,8.4,4.14,0,2.48,1.78,2.914263223,1.028566997,72.6125676
"Korea, Dem. People’s Rep.",PRK,2000,2665.541016,,65.268,3.52,0.23,0,3.29,0,1.507256814,0.530998341,10.9267563
Portugal,PRT,2000,52691.36328,11502.39681,76.31463415,11.89,3.75,0.02,1.57,6.55,2.044256313,0.371493333,14.24748073
Paraguay,PRY,2000,15267.36719,1545.626423,70.07,6.78,3.79,0.04,2.02,0.93,3.375566872,1.205434326,28.31047269
Qatar,QAT,2000,199130.9531,29986.29015,76.279,0.5,0.09,0,0.41,0,0.771756654,0.465408907,6.193033124
Romania,ROU,2000,21915.25391,1668.162731,71.16341463,10.16,3.18,0,3.52,3.47,2.326042469,1.296463831,50.07829444
Russian Federation,RUS,2000,31068.92188,1771.586602,65.48365854,10.18,2.18,0,7.29,0.71,7.530608295,3.846268458,273.821957
Rwanda,RWA,2000,1629.328003,216.172747,48.415,7.13,0.58,6.54,0.01,0,3.459856631,0.898096054,27.23430773
Saudi Arabia,SAU,2000,146354.1875,9126.954277,72.44,0.05,0,0,0.05,0,0.651103525,0.444054531,2.715398826
Sudan,SDN,2000,11668.98047,361.0305843,58.43,1.76,0,1.5,0.26,0,0.723347789,0.447674675,5.432738971
Senegal,SEN,2000,7073.620117,473.4500338,57.796,0.29,0.16,0,0.04,0.09,1.244659718,1.049849001,14.14779621
Singapore,SGP,2000,108725,23792.60707,77.95121951,2.03,1.29,0,0.61,0.12,0.683495472,0.306032398,1.997682692
Solomon Islands,SLB,2000,4206.277832,1054.518572,63.103,0.71,0.62,0,0.07,0.02,1.156226148,0.556741071,9.93588689
Sierra Leone,SLE,2000,2650.031006,139.3147734,38.702,3.97,0.13,3.81,0.03,0,1.236696971,1.087256278,17.02133264
El Salvador,SLV,2000,17554.23047,2238.401016,68.834,2.79,1.09,0,1.66,0.04,5.452506373,0.893381617,210.2430245
Somalia,SOM,2000,2082.677979,,50.867,0,0,0,0,0,1.965057829,0.907336213,22.25578673
Serbia,SRB,2000,16175.39063,870.1365252,71.58292683,7.38,3.68,0,2.31,1.38,2.375965169,1.173265049,32.72690038
Sao Tome and Principe,STP,2000,7647.839844,,63.338,5.07,1.17,0,0.64,3.26,1.359944175,1.035418342,16.14428522
Suriname,SUR,2000,32210.8418,1888.61829,67.838,4.29,1.67,0.01,2.56,0.05,2.496428257,0.866089015,26.89226175
Slovak Republic,SVK,2000,40113.04297,5402.929754,73.05121951,11.06,4.47,0.25,4.85,1.49,3.161860031,1.256043666,21.85545223
Slovenia,SVN,2000,50541.57031,10227.73677,75.41219512,11.9,5.14,0.01,1.84,4.91,2.698574661,1.302894796,54.78795021
Sweden,SWE,2000,76554.5,29283.00505,79.64390244,6.2,2.7,0,1.3,2.2,2.518140365,0.816706445,41.01598433
Swaziland,SWZ,2000,25507.70313,1637.450072,48.521,7.19,1.82,4.68,0.08,0.61,2.414874631,1.027037613,42.45676004
Seychelles,SYC,2000,,7578.851053,72.77804878,8.24,6.27,0,1.07,0.91,1.210305957,0.511338864,18.14185601
Syrian Arab Republic,SYR,2000,17659.78906,1177.629268,73.11,1.41,0.05,0,0.89,0.47,0.572353077,0.452375699,2.888923242
Chad,TCD,2000,2838.341064,166.0231785,47.593,0.25,0.17,0.08,0,0,1.247045909,1.052541661,15.15331591
Togo,TGO,2000,2849.540039,260.3932935,53.489,1.1,0.46,0.3,0.24,0.1,1.308286232,1.05510334,18.09537484
Thailand,THA,2000,16865.48242,2007.564826,70.624,5.88,1.13,0,4.74,0.01,1.25812815,0.544947096,28.70410431
Tajikistan,TJK,2000,3974.975098,138.4366033,65.485,0.37,0.01,0,0.24,0.12,2.7580005,0.84216523,26.95538918
Turkmenistan,TKM,2000,13742.42969,643.1750108,63.613,2.9,0.08,0,1.3,1.52,3.056568019,0.890902394,28.65455616
Timor-Leste,TLS,2000,5286.842773,402.0066527,59.36,0.5,0.42,0,0.05,0.03,0.984929842,0.509122324,13.56293689
Tonga,TON,2000,13271.50586,2063.207236,70.811,1.24,0.66,0,0.46,0.12,1.125851129,0.564616738,6.796637125
Trinidad and Tobago,TTO,2000,45783.76172,6430.947262,68.532,4.68,2.12,0,2.46,0.09,2.177103489,0.834737705,9.931936496
Tunisia,TUN,2000,26886.76563,2213.914088,73.155,1.21,0.8,0,0.04,0.37,0.696243014,0.462195702,2.639517114
Turkey,TUR,2000,43777.58984,4316.553895,70.008,1.54,0.76,0,0.73,0.05,0.99908797,0.71994868,5.183331368
Tuvalu,TUV,2000,,1458.817097,,1.16,0.85,0,0.25,0.06,,,
Tanzania,TZA,2000,3321.36792,306.7238273,51.493,3.89,0.51,3.28,0.1,0,2.089295199,0.930178885,25.78514905
Uganda,UGA,2000,3120.077881,257.6303609,47.077,10.47,0.56,9.72,0.2,0,1.368501837,1.167308472,31.03451948
Ukraine,UKR,2000,11575.52148,635.7089635,67.8595122,4.49,1.28,0,2.85,0.36,3.68370077,4.281638039,166.5001085
Uruguay,URY,2000,31244.32031,6871.897677,74.805,6.65,1.37,0,0.85,4.44,1.35942408,0.512543589,20.6961576
United States,USA,2000,92141.45313,36449.85512,76.63658537,8.21,4.62,0,2.42,1.17,2.866317765,1.47767954,23.80710447
Uzbekistan,UZB,2000,6860.647949,558.221144,67.154,1.6,0.25,0,0.99,0.37,2.533819337,0.822125985,16.82110264
St. Vincent and the Grenadines,VCT,2000,20822.86719,3672.635267,70.593,4.8,1.96,0.01,2.75,0.08,3.339886151,0.972317763,60.86183875
"Venezuela, RB",VEN,2000,39552.03516,4783.530592,72.281,8.01,5.59,0,2.31,0.11,1.989441381,0.656397819,9.451588213
Vietnam,VNM,2000,4973.88916,388.2705386,73.265,1.6,0.7,0,0.9,0,1.431890198,1.415042109,9.390152796
Vanuatu,VUT,2000,7339.625977,1469.849149,67.438,1.21,0.46,0,0.51,0.24,1.221659664,0.565727007,10.71490806
Samoa,WSM,2000,22313.82227,1540.689023,69.305,3,2.85,3,0.12,0.03,1.109314253,0.559290201,6.986217488
"Yemen, Rep.",YEM,2000,18878.6543,539.1043652,60.382,0.07,0.07,0,0,0,0.688143376,0.449479646,3.916920094
South Africa,ZAF,2000,35318.27734,2982.000426,56.341,7.3,3.87,0.79,1.14,1.5,2.169326719,0.949929367,37.34316128
Zambia,ZMB,2000,5697.26416,341.9055625,44.702,2.62,0.51,1.9,0.2,0.01,2.241838639,1.020031786,35.4261221
Zimbabwe,ZWE,2000,6485.395996,547.3588785,44.841,1.68,0.67,0.79,0.19,0.03,2.198960396,0.958635359,20.45819161
Afghanistan,AFG,2001,2836.918945,117.4096908,56.044,0,0,0,0,0,0.744606532,0.44592146,7.846500155
Angola,AGO,2001,11367.2168,526.168743,48.2,2.58,1.41,0,0.45,0.72,1.848548692,1.045181714,17.55648895
Albania,ALB,2001,17274.39844,1326.970339,74.286,4.25,1.42,0,2.02,0.81,1.881638795,1.213156436,4.813294781
Andorra,AND,2001,,22228.84649,,11.59,3.29,0,2.18,6.13,1.703724487,0.5777259,10.94373424
United Arab Emirates,ARE,2001,177470.2031,31061.52935,74.487,1.67,0.51,0,1.1,0.07,0.759659536,0.462461851,5.505108753
Argentina,ARG,2001,38252.15234,7170.694674,74.039,7.76,1.9,0.05,0.49,5.32,3.630604685,1.006520663,23.95073488
Armenia,ARM,2001,8528.254883,694.4305119,71.8,2.86,0.24,0,2.34,0.28,2.546395192,0.85322878,15.46325957
Antigua and Barbuda,ATG,2001,,9414.160591,73.752,7.51,1.89,0.02,4.17,1.42,3.245444708,1.131426684,52.80178107
Australia,AUS,2001,76006.52344,19517.84168,79.63414634,9.53,4.08,0.01,1.81,2.91,1.857947471,0.967590748,14.40964499
Austria,AUT,2001,83886.53906,24537.51426,78.57560976,12.4,6.6,0,1.5,4.3,2.921249172,0.995921155,31.15757581
Azerbaijan,AZE,2001,12213.44336,703.6838434,67.054,0.51,0.2,0,0.25,0.05,4.064325036,0.992921401,88.35810413
Burundi,BDI,2001,1788.129028,133.7427689,51.779,6.09,1,5.07,0,0.01,2.253269967,0.969040819,34.73074127
Belgium,BEL,2001,94963.1875,23121.60114,77.97317073,11.01,6.08,0,0.93,3.99,2.08530892,0.697054323,26.76157653
Benin,BEN,2001,4336.064941,378.736054,55.668,1.29,0.66,0.38,0.13,0.12,1.298836716,1.105347932,19.23046752
Burkina Faso,BFA,2001,2716.123047,235.4912324,50.893,4.56,0.39,3.86,0.23,0.08,1.281307402,1.121634665,22.81725024
Bangladesh,BGD,2001,4801.75,402.5981152,65.903,0,0,0,0,0,1.779551081,0.950704918,7.567131826
Bulgaria,BGR,2001,27422.77539,1764.907387,71.76829268,10.72,3.22,0,4.77,2.73,2.158855153,1.166860451,14.30294538
Bahrain,BHR,2001,100762.0391,12868.211,74.635,1.95,0.55,0,1.25,0.15,0.845619503,0.464058916,10.50906671
"Bahamas, The",BHS,2001,52016.78906,21497.52091,72.668,11.64,3.7,0.03,6.08,1.83,2.968299299,1.019672769,32.85980619
Bosnia and Herzegovina,BIH,2001,22806.43555,1524.412022,74.653,3.85,2.61,0,0.85,0.4,3.91426106,1.725571593,52.52306536
Belarus,BLR,2001,16575.32422,1244.373185,68.50731707,10.74,1.15,4.47,4.75,0.37,4.285946708,3.832799664,149.1298823
Belize,BLZ,2001,21244.45508,3419.275719,68.356,4.9,2.95,0,1.8,0.14,2.705382077,0.849323336,36.65710968
Bolivia,BOL,2001,10606.50391,958.2366524,61.26,2.2,1.55,0,0.59,0.06,2.340515475,0.782129252,32.87162721
Brazil,BRA,2001,27299.2793,3146.950177,70.486,7.13,3.34,0.01,3.49,0.29,4.269556334,1.30511259,43.39297182
Barbados,BRB,2001,28870.35156,11513.93686,73.535,7.38,2.9,0.03,3.96,0.49,2.197593585,0.837112566,11.80759882
Brunei Darussalam,BRN,2001,185055.2813,16468.12886,75.425,0.47,0.2,0,0.23,0.04,1.099169457,0.408725217,2.12417505
